,Company,Specific_Bean_Origin,Review_Date,Cocoa_Percent,Company_Location,Rating,Bean_Type,Broad_Bean_Origin
297,Cacao Hunters,Perla Negra,2016,74.0,Colombia,3.75,Unknown,Colombia
298,Cacao Hunters,Arhuacos,2015,72.0,Colombia,3.75,Unknown,Colombia
299,Cacao Hunters,Sierra Nevada,2014,64.0,Colombia,3.5,Unknown,Colombia
300,Cacao Hunters,Tumaco,2014,70.0,Colombia,3.5,Unknown,Colombia
301,Cacao Hunters,"Boyaca, Aprocampa Coop, Pauna",2014,69.0,Colombia,2.75,Unknown,Colombia
302,Cacao Hunters,Arauca,2014,70.0,Colombia,3.25,Unknown,Colombia
303,Cacao Market,"Jutiapa, lot 050916D",2016,70.0,U.S.A.,3.5,Trinitario,Honduras
304,Cacao Prieto,"Criollo, Dominican Republic",2012,72.0,U.S.A.,3.75,Criollo,Dominican Republic
305,Cacao Prieto,"Dominican Republicm, rustic",2011,72.0,U.S.A.,3.0,Unknown,Dominican Republic
306,Cacao Prieto,Dominican Republic,2011,66.0,U.S.A.,3.75,Unknown,Dominican Republic
307,Cacao Prieto,"Dominican Republic, rustic",2011,65.0,U.S.A.,3.25,Unknown,Dominican Republic
308,Cacao Sampaka,"Mahali, Kasai",2016,70.0,Spain,3.5,Criollo,Congo
309,Cacao Sampaka,Madagascar,2010,71.0,Spain,3.5,Trinitario,Madagascar
310,Cacao Sampaka,Ecuador,2010,71.0,Spain,3.75,Unknown,Ecuador
311,Cacao Sampaka,Papua,2010,71.0,Spain,4.0,Unknown,Papua New Guinea
312,Cacao Sampaka,Grenada,2010,71.0,Spain,3.25,Trinitario,Grenada
313,Cacao Sampaka,Venezuela,2010,71.0,Spain,3.5,Unknown,Venezuela
314,Cacao Sampaka,Venezuela,2010,77.0,Spain,3.5,Unknown,Venezuela
315,Cacao Sampaka,"Porcelana, Tabasco, La Joya",2009,70.0,Spain,4.0,Criollo,Mexico
316,Cacao Sampaka,"Xoconusco, Chiapas",2009,70.0,Spain,4.0,Criollo,Mexico
317,Cacao Store,Madagascar,2015,70.0,Japan,3.0,Trinitario,Madagascar
318,Cacao Store,Peru,2015,70.0,Japan,3.25,Unknown,Peru
319,Cacao Store,Vietnam,2015,70.0,Japan,3.5,Trinitario,Vietnam
320,Cacaosuyo (Theobroma Inversiones),Piura,2013,70.0,Peru,3.25,Unknown,Peru
321,Cacaoyere (Ecuatoriana),Amazonia,2008,63.0,Ecuador,3.5,Forastero (Arriba),Ecuador
322,Cacaoyere (Ecuatoriana),Esmeraldas,2008,71.0,Ecuador,3.5,Forastero (Arriba),Ecuador
323,Cacaoyere (Ecuatoriana),Bolivar,2008,82.0,Ecuador,2.5,Forastero (Arriba),Ecuador
324,Cacaoyere (Ecuatoriana),Pichincha,2008,91.0,Ecuador,1.5,Forastero (Arriba),Ecuador
325,Callebaut,Grenade,2008,60.0,Belgium,2.75,Trinitario,Grenada
326,Callebaut,Baking,2007,70.0,Belgium,1.0,Unknown,Ecuador
327,C-Amaro,Cuba,2014,75.0,Italy,2.5,Unknown,Cuba
328,C-Amaro,Dominican Republic,2014,72.0,Italy,3.0,Unknown,Dominican Republic
329,C-Amaro,"Lago di Como, Blu",2014,70.0,Italy,3.5,Blend,
330,C-Amaro,Ecuador,2013,100.0,Italy,3.5,Unknown,Ecuador
331,C-Amaro,Venezuela,2012,80.0,Italy,3.0,Unknown,Venezuela
332,C-Amaro,Sao Tome,2011,78.0,Italy,2.25,Forastero,Sao Tome
333,C-Amaro,Trinidad,2011,70.0,Italy,2.5,Trinitario,Trinidad
334,Cao,Porcelana,2016,75.0,U.S.A.,2.5,Criollo,Venezuela
335,Cao,Tanzania,2016,73.0,U.S.A.,2.75,Unknown,Tanzania
336,Cao,"Porcelana, Batch 5163",2016,70.0,U.S.A.,3.0,Criollo,Venezuela
337,Cao,Bolivia,2016,75.0,U.S.A.,3.0,Unknown,Bolivia
338,Cao,Brazil,2016,70.0,U.S.A.,3.25,Trinitario,Brazil
339,Caoni (Tulicorp),Esmeraldas,2008,77.0,Ecuador,2.0,Forastero (Arriba),Ecuador
340,Caoni (Tulicorp),Manabi,2008,77.0,Ecuador,2.5,Forastero (Arriba),Ecuador
341,Caoni (Tulicorp),Los Rios,2008,77.0,Ecuador,2.75,Forastero (Arriba),Ecuador
342,Caoni (Tulicorp),Manabi,2008,55.0,Ecuador,3.0,Forastero (Arriba),Ecuador
343,Caoni (Tulicorp),Los Rios,2008,55.0,Ecuador,3.25,Forastero (Arriba),Ecuador
344,Caoni (Tulicorp),Esmeraldas,2008,55.0,Ecuador,3.5,Forastero (Arriba),Ecuador
345,Captain Pembleton,"Saidor Estate, Madang P.",2014,70.0,New Zealand,3.5,Trinitario,Papua New Guinea
346,Captain Pembleton,Kulili Estate,2014,70.0,New Zealand,3.75,Unknown,Papua New Guinea
347,Caribeans,"Antigua, Special Reserve",2015,72.0,Costa Rica,3.5,Unknown,Guatemala
348,Caribeans,"Talamanca, Raul-Kekoldo community",2015,72.0,Costa Rica,3.25,Unknown,Costa Rica
349,Caribeans,Anselmo Paraiso Estate,2015,72.0,Costa Rica,3.5,Unknown,Costa Rica
350,Caribeans,Costa Rica,2012,72.0,Costa Rica,3.0,Forastero,Costa Rica
351,Caribeans,Costa Rica,2012,80.0,Costa Rica,2.75,Forastero,Costa Rica
352,Carlotta Chocolat,Arauca,2016,65.0,Colombia,3.0,Trinitario,Colombia
353,Carlotta Chocolat,Tumaco,2016,65.0,Colombia,3.25,Trinitario,Colombia
354,Carlotta Chocolat,Cordoba,2016,65.0,Colombia,3.25,Trinitario,Colombia
355,Carlotta Chocolat,Huila,2016,65.0,Colombia,3.5,Trinitario,Colombia
356,Carlotta Chocolat,Cesar,2016,65.0,Colombia,3.5,CCN51,Colombia
357,Castronovo,"Maya Mtn, Batch 454, Heirloom",2016,72.0,U.S.A.,4.0,Trinitario,Belize
358,Castronovo,"the lost city, gracias a dias, batch 362",2015,72.0,U.S.A.,3.5,Trinitario,Honduras
359,Castronovo,"Duarte, Batch 360",2015,70.0,U.S.A.,3.75,"Criollo, Trinitario",Dominican Republic
360,Castronovo,"Piaroa, Amazonas, Batch 350",2015,72.0,U.S.A.,3.5,Unknown,Venezuela
361,Castronovo,Sierra Nevada,2014,72.0,U.S.A.,3.5,"Criollo, Trinitario",Colombia
362,Castronovo,Arauca,2014,76.0,U.S.A.,3.5,"Criollo, Trinitario",Colombia
363,Castronovo,Elvesia P.,2014,70.0,U.S.A.,2.75,Trinitario,Dominican Republic
364,Castronovo,Bolivia,2013,70.0,U.S.A.,3.0,Trinitario,Bolivia
365,Castronovo,Conacado,2013,73.0,U.S.A.,3.5,Trinitario,Dominican Republic
366,Castronovo,San Martin,2013,70.0,U.S.A.,2.5,Criollo,Peru
367,Castronovo,"Guaniamo, Amazonas",2013,70.0,U.S.A.,3.25,Unknown,Venezuela
368,Castronovo,Nicaragua,2013,72.0,U.S.A.,3.25,Trinitario,Nicaragua
369,Castronovo,Tumbes,2013,70.0,U.S.A.,2.75,Criollo,Peru
370,Castronovo,Guaniamo,2013,72.0,U.S.A.,3.0,Unknown,Venezuela
371,Cello,Ecuador,2014,70.0,U.S.A.,2.5,Unknown,Ecuador
372,Cello,Peru,2014,70.0,U.S.A.,2.75,Unknown,Peru
373,Cello,Venezuela,2014,70.0,U.S.A.,2.75,Unknown,Venezuela
374,Cello,Bolivia,2014,70.0,U.S.A.,3.0,Unknown,Bolivia
375,Cemoi,Equateur,2009,72.0,France,2.75,Unknown,Ecuador
376,Chaleur B,Uganda,2014,70.0,Canada,2.75,Forastero,Uganda
377,Charm School,Maya Mtn,2016,70.0,U.S.A.,3.25,Unknown,Belize
378,Chchukululu (Tulicorp),Arriba,2010,55.0,Ecuador,2.75,Forastero (Arriba),Ecuador
379,Chchukululu (Tulicorp),Los Rios,2008,75.0,Ecuador,3.0,Forastero (Arriba),Ecuador
380,Chequessett,la Amistad,2014,70.0,U.S.A.,3.5,Unknown,Costa Rica
381,Chloe Chocolat,Blend No. 1,2011,70.0,France,3.5,Unknown,
382,Chocablog,Ecuador,2015,70.0,U.K.,3.25,Unknown,Ecuador
383,Choco Del Sol,Maya Mountain w/ nibs,2014,75.0,Germany,3.0,Trinitario,Belize
384,Choco Del Sol,Maya Mountain,2014,82.0,Germany,3.25,Trinitario,Belize
385,Choco Dong,"Mekong Delta, early 2014 Harvest",2015,70.0,South Korea,2.75,Trinitario,Vietnam
386,Choco Dong,"Tawau, Oct. 2015 Harvest",2015,70.0,South Korea,3.5,Trinitario,Malaysia
387,Chocolarder,Peru,2015,65.0,U.K.,2.5,Criollo,Peru
388,Chocolarder,Peru + nibs,2015,65.0,U.K.,2.75,Criollo,Peru
389,Chocolarder,Dominican Republic,2015,80.0,U.K.,2.5,Unknown,Dominican Republic
390,Chocola'te,Madagascar,2011,70.0,U.S.A.,3.75,Trinitario,Madagascar
391,Chocola'te,Venezuela,2011,68.0,U.S.A.,3.75,Unknown,Venezuela
392,Chocolate Alchemist-Philly,"Tumbes, ""Zarumilla""",2016,90.0,U.S.A.,2.5,Unknown,Peru
393,Chocolate Alchemist-Philly,"Philly Blend, 5 plantations",2016,80.0,U.S.A.,2.5,Unknown,
394,Chocolate Con Amor,Wild Bolivian,2016,70.0,U.S.A.,2.5,Unknown,Bolivia
395,Chocolate Con Amor,Uganda,2016,70.0,U.S.A.,2.75,Unknown,Uganda
396,Chocolate Con Amor,Dominican Republic,2016,60.0,U.S.A.,3.0,Unknown,Dominican Republic
397,Chocolate Con Amor,Dominican Republic,2016,75.0,U.S.A.,3.0,Unknown,Dominican Republic
398,Chocolate Con Amor,Ocumare,2016,80.0,U.S.A.,3.0,Criollo (Ocumare),Venezuela
399,Chocolate Con Amor,Ecuador,2016,70.0,U.S.A.,3.25,Unknown,Ecuador
400,Chocolate Con Amor,Nicaragua,2016,80.0,U.S.A.,2.75,Unknown,Nicaragua
401,Chocolate Conspiracy,Peru,2014,74.0,U.S.A.,2.75,Unknown,Peru
402,Chocolate Makers,Tres Hombres,2015,75.0,Amsterdam,3.25,Trinitario,Dominican Republic
403,Chocolate Makers,"Congo, Gorilla bar",2015,68.0,Amsterdam,3.5,Forastero,Congo
404,Chocolate Makers,"Peru, Awagum bar",2015,80.0,Amsterdam,3.75,Criollo,Peru
405,"Chocolate Tree, The",Maranon,2015,69.0,Scotland,3.75,Forastero (Nacional),Peru
406,"Chocolate Tree, The",Carenero Superior,2015,80.0,Scotland,3.75,Trinitario,Venezuela
407,"Chocolate Tree, The",Peru,2013,70.0,Scotland,3.75,Forastero (Nacional),Peru
408,"Chocolate Tree, The",Ecuador,2012,82.0,Scotland,2.5,Forastero (Arriba),Ecuador
409,"Chocolate Tree, The",Peru,2012,68.0,Scotland,2.75,Criollo,Peru
410,"Chocolate Tree, The",Madagascar,2012,72.0,Scotland,3.25,Criollo,Madagascar
411,Chocolats Privilege,Xoconusco,2014,70.0,Canada,2.5,Criollo,Mexico
412,ChocoReko,Patanemo,2015,77.0,Japan,3.0,Criollo,Venezuela
413,Chocosol,"Chiapas, Lacandon Jungle, Oaxacom Mtn",2011,65.0,Canada,3.25,Unknown,Mexico
414,Chocovic,Xoconusco,2010,71.0,Spain,3.25,Criollo,Mexico
415,Chocovic,Sambirano,2010,71.0,Spain,3.5,Trinitario,Madagascar
416,Chocovic,Kendari,2009,60.0,Spain,3.25,Unknown,
417,Chocovic,Tarakan,2009,75.0,Spain,3.25,Unknown,
418,Chocovic,Ocumare,2008,71.0,Spain,3.5,Criollo,Venezuela
419,Chocovic,"Bolivar, Guaranda",2007,71.0,Spain,2.5,Forastero (Arriba),Ecuador
420,Chocovic,Guyave,2007,71.0,Spain,2.5,Trinitario,Grenada
421,Chocovic,Maragda,2007,70.0,Spain,3.0,Blend,
422,Chocovivo,Tabasco,2015,65.0,U.S.A.,2.5,Trinitario,Mexico
423,Chocovivo,Tabasco,2015,75.0,U.S.A.,2.5,Trinitario,Mexico
424,Choklat,Ocumare,2009,80.0,Canada,2.5,Criollo,Venezuela
425,Choklat,"Porcelana, Tabasco",2009,70.0,Canada,2.75,Criollo,Mexico
426,Choklat,Brazilian,2009,70.0,Canada,3.0,Unknown,Brazil
427,Choklat,Brazilian,2009,80.0,Canada,3.0,Unknown,Brazil
428,Choklat,Ocumare,2009,70.0,Canada,3.0,Criollo,Venezuela
429,Chokolat Elot (Girard),Guadeloupe,2013,42.0,Martinique,2.75,Unknown,Martinique
430,Choocsol,"Chiapas, Lacandon Jungle, Oaxacom Mtn",2016,75.0,Canada,3.25,Unknown,Mexico
431,Christopher Morel (Felchlin),"Maranon Canyon, Fortunato No. 4",2011,68.0,Canada,3.75,Forastero (Nacional),Peru
432,Chuao Chocolatier,Choroni,2009,61.0,U.S.A.,3.0,Criollo,Venezuela
433,Chuao Chocolatier (Pralus),Chuao,2010,77.0,U.S.A.,2.75,Trinitario,Venezuela
434,Claudio Corallo,Terreiro Velho P.,2010,73.5,Sao Tome,3.75,Forastero,Sao Tome
435,Claudio Corallo,Terreiro Velho P. w/ sugar crystals,2008,80.0,Sao Tome,3.0,Forastero,Sao Tome
436,Claudio Corallo,Terreiro Velho P.,2008,75.0,Sao Tome,4.0,Forastero,Sao Tome
437,Claudio Corallo,Principe,2008,100.0,Sao Tome,1.0,Forastero,Sao Tome
438,Cloudforest,"Camino Verde P., Balao, Guayas, 2014",2015,73.0,U.S.A.,3.5,Unknown,Ecuador
439,Coleman & Davis,Sambirano,2015,75.0,U.S.A.,3.0,Trinitario,Madagascar
440,Compania de Chocolate (Salgado),Sur del Lago,2010,70.0,Argentina,3.25,Unknown,Venezuela
441,Compania de Chocolate (Salgado),Carenero Superior,2008,80.0,Argentina,2.75,Trinitario,Venezuela
442,Compania de Chocolate (Salgado),Moxos,2008,72.0,Argentina,3.25,Unknown,Bolivia
443,Compania de Chocolate (Salgado),Ocumare,2008,70.0,Argentina,3.75,Criollo,Venezuela
444,Compania de Chocolate (Salgado),Esmeraldas,2008,88.0,Argentina,2.75,Forastero (Nacional),Ecuador
445,Condor,Camino Verde,2015,76.0,U.S.A.,3.5,Unknown,Ecuador
446,Confluence,"Tien Giang, 2015, batch 10-2-16",2016,78.0,U.S.A.,2.75,Trinitario,Vietnam
447,Coppeneur,"Ecuador, Puristique",2013,65.0,Germany,3.25,Forastero (Nacional),Ecuador
448,Coppeneur,Ghana Puristique,2012,85.0,Germany,3.5,Forastero,Ghana
449,Coppeneur,Ecuador Puristique,2012,100.0,Germany,1.5,Unknown,Ecuador
450,Coppeneur,Uba Budo,2012,72.0,Germany,3.75,Forastero,Sao Tome
451,Coppeneur,Madagascar,2012,70.0,Germany,3.5,Trinitario,Madagascar
452,Coppeneur,Grenada,2010,72.0,Germany,3.25,Trinitario,Grenada
453,Coppeneur,Chuao,2010,70.0,Germany,3.0,Trinitario,Venezuela
454,Coppeneur,"Los Rios, H. Iara",2010,72.0,Germany,2.5,Nacional,Ecuador
455,Coppeneur,Trinidad,2010,72.0,Germany,3.0,Trinitario,Trinidad
456,Coppeneur,Jamaica,2010,72.0,Germany,3.25,Trinitario,Jamaica
457,Coppeneur,Ocumare 61,2010,72.0,Germany,3.25,Criollo (Ocumare 61),Venezuela
458,Coppeneur,"Porcelana, Apotequil",2009,72.0,Germany,3.0,Criollo,Peru
459,Coppeneur,"Porcelana, Apotequil",2009,62.0,Germany,3.25,Criollo,Peru
460,Coppeneur,Chuao 100hr,2009,70.0,Germany,3.5,"Criollo, Trinitario",Venezuela
461,Coppeneur,Chuao 70hr,2009,70.0,Germany,3.75,"Criollo, Trinitario",Venezuela
462,Coppeneur,"Porcelana, Tabasco, Mexico",2008,72.0,Germany,3.0,Criollo,Mexico
463,Coppeneur,"Porcelana, Venezuela",2008,72.0,Germany,3.0,Criollo (Porcelana),Venezuela
464,Coppeneur,"Sambirano, Menava P.",2007,72.0,Germany,3.0,Trinitario,Madagascar
465,Cote d' Or (Kraft),Sensations Intense,2006,70.0,Belgium,1.0,Unknown,
466,Cravve,New Ireland,2014,70.0,Australia,2.5,Forastero,Papua New Guinea
467,Cravve,"Vanuatu, batch 2410",2014,83.0,Australia,2.75,Trinitario,Vanuatu
468,Cravve,"Tanzania, batch a1",2012,75.0,Australia,3.25,Forastero,Tanzania
469,Cravve,"Bahia, batch a1213",2012,65.0,Australia,3.25,Trinitario,Brazil
470,Cravve,"Namau Village, N. Taileva P., batch a2812",2012,67.0,Australia,3.25,Trinitario,Fiji
471,Cravve,Vanuatu,2012,64.0,Australia,3.25,Trinitario,Vanuatu
472,Cravve,Djual Island,2012,75.0,Australia,3.5,Forastero,Papua New Guinea
473,Creo,"""heirloom"", Arriba Nacional",2016,85.0,U.S.A.,3.25,Forastero (Nacional),Ecuador
474,Creo,"""heirloom"", Arriba Nacional",2016,73.0,U.S.A.,3.75,Forastero (Nacional),Ecuador
475,Daintree,Goodman Estate,2015,70.0,Australia,2.75,Unknown,Australia
476,Daintree,"Daintree Estates, N. Queensland",2011,70.0,Australia,3.25,Unknown,Australia
477,Dalloway,"Dominican Republic, batch 7",2017,72.0,U.S.A.,2.75,Unknown,Dominican Republic
478,Damson,Robson Estate,2015,70.0,U.K.,3.0,Trinitario,Trinidad
479,Damson,Los Rios,2015,70.0,U.K.,3.5,Unknown,Ecuador
480,Damson,Crayfish Bay aka Non Pariel Estate,2015,70.0,U.K.,2.25,Unknown,Grenada
481,Damson,O'Payo,2015,70.0,U.K.,2.75,Unknown,Nicaragua
482,Dandelion,"Zorzal Reserva, 2015 H., Kerchner",2016,70.0,U.S.A.,3.75,Unknown,
483,Dandelion,"Maya Mtn., Break Bar- Snark",2015,70.0,U.S.A.,3.0,Trinitario,Belize
484,Dandelion,Maya Mountain,2014,70.0,U.S.A.,3.5,Trinitario,Belize
485,Dandelion,"Camino Verde P., Balao, Guayas, 2013",2014,70.0,U.S.A.,3.5,Unknown,Ecuador
486,Dandelion,Buto,2014,70.0,U.S.A.,2.75,Unknown,Liberia
487,Dandelion,"San Francisco de Macoris, Cibao region",2014,70.0,U.S.A.,3.75,Unknown,Dominican Republic
488,Dandelion,"Cumboto, farmer Jose Lugo",2013,70.0,U.S.A.,2.75,Unknown,Venezuela
489,Dandelion,Patanemo,2013,70.0,U.S.A.,3.25,Unknown,Venezuela
490,Dandelion,"Mantuano, 2012",2013,70.0,U.S.A.,3.5,Unknown,Venezuela
491,Dandelion,Papua New Guinea,2013,70.0,U.S.A.,3.5,Unknown,Papua New Guinea
492,Dandelion,Upala,2012,70.0,U.S.A.,3.0,Unknown,Costa Rica
493,Dandelion,Colombian,2012,70.0,U.S.A.,3.25,Unknown,Colombia
494,Dandelion,"Elvesia, 2011",2012,70.0,U.S.A.,3.75,Unknown,Dominican Republic
495,Dandelion,Dominican Republic,2011,70.0,U.S.A.,3.25,Unknown,Dominican Republic
496,Dandelion,Madagascar,2011,70.0,U.S.A.,3.25,Trinitario,Madagascar
497,Dandelion,Tanzania,2011,70.0,U.S.A.,3.25,Unknown,Tanzania
498,Danta,Los Ujuxtes,2014,82.0,Guatemala,3.25,Unknown,Guatemala
499,Danta,Chuao,2012,75.0,Guatemala,3.0,Trinitario,Venezuela
500,Danta,Los Ujuxtes,2012,70.0,Guatemala,3.75,Unknown,Guatemala
501,Danta,Sambirano,2012,70.0,Guatemala,3.75,Trinitario,Madagascar
502,Danta,Las Acacias E.,2012,70.0,Guatemala,4.0,Criollo,Guatemala
503,Danta,"Oscuro, Finca Chimelb",2012,70.0,Guatemala,3.25,Unknown,Guatemala
504,Danta,Los Ujuxtes,2011,60.0,Guatemala,3.5,Unknown,Guatemala
505,Danta,Las Acacias E.,2009,75.0,Guatemala,3.0,Criollo,Guatemala
506,Danta,Las Acacias E.,2009,60.0,Guatemala,3.25,Criollo,Guatemala
507,DAR,"Venezuela, batch 122",2016,72.0,U.S.A.,2.75,Unknown,Venezuela
508,DAR,Vietnam,2016,72.0,U.S.A.,3.0,Trinitario,Vietnam
509,DAR,"DUO, batch 002",2016,70.0,U.S.A.,3.25,Unknown,Ecuador
509,DAR,"DUO, batch 002",2016,70.0,U.S.A.,3.25,Unknown,Costa Rica
509,DAR,"DUO, batch 002",2016,70.0,U.S.A.,3.25,Unknown,
510,Dark Forest,Bolivia,2016,75.0,U.S.A.,3.25,Unknown,Bolivia
511,Dark Forest,Madagascar,2015,70.0,U.S.A.,3.0,Trinitario,Madagascar
512,Dark Forest,Ocumare,2015,70.0,U.S.A.,3.25,Unknown,Venezuela
513,Dark Forest,Tanzania,2015,70.0,U.S.A.,3.0,Unknown,Tanzania
514,Dark Forest,Ecuador,2015,70.0,U.S.A.,3.25,Unknown,Ecuador
515,Davis,Ghana,2013,70.0,U.S.A.,2.5,Forastero,Ghana
516,Davis,Rainforest,2013,70.0,U.S.A.,2.75,Unknown,Dominican Republic
517,Davis,Venezuela,2013,70.0,U.S.A.,2.75,Unknown,Venezuela
518,Davis,West Africa,2012,58.0,U.S.A.,3.25,Forastero,West Africa
519,De Mendes,"Nativo, Varzea",2015,72.0,Brazil,3.5,Unknown,Brazil
520,De Mendes,"Selvagem, Jari",2015,65.0,Brazil,3.5,Unknown,Brazil
521,De Villiers,Bundibugyo District,2016,70.0,South Africa,2.5,Forastero,Uganda
522,De Villiers,"Sambirano Valley, batch 2477",2016,70.0,South Africa,3.0,Unknown,Madagascar
523,Dean and Deluca (Belcolade),Madagascar,2007,66.0,U.S.A.,2.5,Trinitario,Madagascar
524,Dean and Deluca (Belcolade),Costa Rica,2007,64.0,U.S.A.,3.0,Unknown,Costa Rica
525,Dean and Deluca (Belcolade),Ecuador,2007,71.0,U.S.A.,3.0,Unknown,Ecuador
526,Dean and Deluca (Belcolade),Ghana,2007,60.0,U.S.A.,3.0,Forastero,Ghana
527,Dean and Deluca (Belcolade),Papua New Guinea,2007,64.0,U.S.A.,3.0,Unknown,Papua New Guinea
528,Dean and Deluca (Belcolade),Peru,2007,64.0,U.S.A.,3.0,Unknown,Peru
529,Debauve & Gallais (Michel Cluizel),Papua New Guinea,2009,64.0,France,3.0,Unknown,Papua New Guinea
530,Debauve & Gallais (Michel Cluizel),Venezuela,2008,66.0,France,3.75,Unknown,Venezuela
531,Desbarres,"Kilombero, batch 41",2016,72.0,Canada,2.5,Unknown,Tanzania
532,DeVries,Bolivian,2008,80.0,U.S.A.,2.75,Unknown,Bolivia
533,DeVries,Costa Rica,2007,77.0,U.S.A.,3.5,Trinitario,Costa Rica
534,DeVries,Dominican Republic,2007,77.0,U.S.A.,3.5,Unknown,Dominican Republic
535,Dick Taylor,Lanquin Estate,2017,70.0,U.S.A.,3.75,Unknown,Guatemala
536,Dick Taylor,Tien Giang,2016,78.0,U.S.A.,3.5,Trinitario,Vietnam
537,Dick Taylor,"Alto Beni, Wild Harvest, Limited Ed.",2015,70.0,U.S.A.,3.75,Unknown,Bolivia
538,Dick Taylor,Elvesia,2014,74.0,U.S.A.,3.5,Unknown,Dominican Republic
539,Dick Taylor,"Ecuador, Choc. Garage Exclusive",2013,70.0,U.S.A.,3.25,Unknown,Ecuador
540,Dick Taylor,Camino Verde,2013,76.0,U.S.A.,3.5,Unknown,Ecuador
541,Dick Taylor,Bolivia,2012,75.0,U.S.A.,2.75,Unknown,Bolivia
542,Dick Taylor,Belize,2012,72.0,U.S.A.,2.75,Trinitario,Belize
543,Dick Taylor,Sambirano,2011,80.0,U.S.A.,2.75,Trinitario,Madagascar
544,Dick Taylor,Sambirano,2011,72.0,U.S.A.,3.0,Trinitario,Madagascar
545,Dick Taylor,Mantuano,2011,75.0,U.S.A.,2.75,Criollo,Venezuela
546,Dick Taylor,La Red,2011,74.0,U.S.A.,3.0,Unknown,Dominican Republic
547,Dick Taylor,Ecuador,2011,70.0,U.S.A.,3.25,Unknown,Ecuador
548,Doble & Bignall,Puerto Cabello,2015,85.0,U.K.,3.0,Unknown,Venezuela
549,Doble & Bignall,"Panama, Raven",2014,72.0,U.K.,3.25,Unknown,Panama
550,Doble & Bignall,"Puerto Cabello, Mantuano",2014,72.0,U.K.,3.25,Trinitario,Venezuela
551,Doble & Bignall,Johe,2014,72.0,U.K.,3.5,"Criollo, Trinitario",Nicaragua
552,Dole (Guittard),"O'ahu, N. Shore, Waialua Estate",2009,70.0,U.S.A.,3.75,Unknown,Hawaii
553,Dolfin (Belcolade),Africa,2008,88.0,Belgium,3.0,Forastero,West Africa
554,Dolfin (Belcolade),Noir,2006,70.0,Belgium,1.5,Unknown,
555,Domori,Hacienda Victoria,2015,70.0,Italy,3.75,Unknown,Ecuador
556,Domori,Ocumare 77,2015,70.0,Italy,3.75,Criollo (Ocumare 77),Venezuela
557,Domori,"IL100, H. San Jose",2013,100.0,Italy,3.0,Criollo,Venezuela
558,Domori,Morogoro,2012,70.0,Italy,3.5,Unknown,Tanzania
559,Domori,Guasare,2012,70.0,Italy,3.75,Criollo,Venezuela
560,Domori,"Canoabo, Hacienda San Jose",2011,70.0,Italy,3.5,Criollo,Venezuela
561,Domori,"Chuao, Hacienda San Jose",2010,70.0,Italy,3.0,Trinitario,Venezuela
562,Domori,"Carupano, H. San Jose",2008,70.0,Italy,3.0,Trinitario,Venezuela
563,Domori,Teyuna,2008,70.0,Italy,3.0,Unknown,Colombia
564,Domori,Blend No. 1,2008,78.0,Italy,3.5,Blend,
565,Domori,Ilblend,2008,70.0,Italy,3.75,Blend,
566,Domori,Porcelana,2007,70.0,Italy,4.0,Criollo (Porcelana),Venezuela
567,Domori,"Ocumare 61, Puertomar",2007,75.0,Italy,3.25,Criollo (Ocumare 61),Venezuela
568,Domori,Granella,2007,60.0,Italy,3.25,Trinitario,Venezuela
569,Domori,Madagascar,2007,70.0,Italy,3.5,Trinitario,Madagascar
570,Domori,Madagared,2007,70.0,Italy,3.5,Criollo,Madagascar
571,Domori,"Java, Javablond",2007,70.0,Italy,3.75,Criollo,Indonesia
572,Domori,Ecuador,2007,70.0,Italy,4.0,Forastero (Arriba),Ecuador
573,Domori,"Ocumare 67, Puertofino",2007,70.0,Italy,4.0,Criollo (Ocumare 67),Venezuela
574,Domori,Sur del Lago Classificado,2006,70.0,Italy,3.0,Trinitario,Venezuela
575,Domori,Apurimac,2006,70.0,Italy,3.25,Trinitario,Peru
576,Domori,Carenero Superior,2006,70.0,Italy,3.5,Trinitario,Venezuela
577,Dormouse,Non Pariel Estate,2016,75.0,U.K.,2.75,Trinitario,Grenada
578,Dormouse,"Rio Caribe, Batch 7",2015,70.0,U.K.,2.5,Trinitario,Venezuela
579,Dormouse,"Colombia, Batch 9",2015,80.0,U.K.,2.75,"Criollo, Trinitario",Colombia
580,Dormouse,"Madagascar, Batch 8",2015,77.0,U.K.,2.75,"Criollo, Trinitario",Madagascar
581,Duffy's,"Rio Dulce, Xoco",2015,70.0,U.K.,4.0,Criollo,Guatemala
582,Duffy's,"Chuno, Xoco",2014,70.0,U.K.,3.5,Criollo,Nicaragua
583,Duffy's,"Rico Rugoso, Xoco",2014,76.0,U.K.,3.75,Criollo,Nicaragua
584,Duffy's,Ocumare,2012,72.0,U.K.,3.75,Unknown,Venezuela
585,Duffy's,"Indio Rojo, Xoco",2011,72.0,U.K.,3.75,Criollo,Honduras
586,Duffy's,Dominican Republic,2011,65.0,U.K.,3.5,Unknown,Dominican Republic
587,Duffy's,"Bocas del Toro, Tierra Oscura",2011,72.0,U.K.,3.0,Unknown,Panama
588,Duffy's,"Nicaliso, Xoco",2011,71.0,U.K.,3.25,Criollo,Nicaragua
589,Duffy's,Ocumare,2011,71.0,U.K.,3.5,Unknown,Venezuela
590,Duffy's,Panama,2010,70.0,U.K.,3.5,Unknown,Panama
591,Duffy's,"Corazon del Ecuador, Calceta beans",2010,72.0,U.K.,3.75,Unknown,Ecuador
